epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.7678,1.40211,3.98978,1.16187,0,0,0,0,0,62.3605,0,0.000158075,0.000158075,0.000158075
2,62.864,1.23943,1.57589,1.09533,0,0,0,0,0,68.7596,0,0.000285384,0.000285384,0.000285384
3,87.5941,1.18841,1.23543,1.0698,0,0,0,0,0,71.3472,0,0.000381277,0.000381277,0.000381277
4,111.521,1.17071,1.0876,1.06156,0,0,0,0,0,63.6383,0,0.000334628,0.000334628,0.000334628
5,137.108,1.12376,0.95241,1.04519,0,0,0,0,0,63.6464,0,0.000287504,0.000287504,0.000287504
6,161.777,1.06736,0.827,1.01005,0,0,0,0,0,63.5399,0,0.00024038,0.00024038,0.00024038
7,186.255,1.02121,0.74186,0.98051,0,0,0,0,0,84.478,0,0.000193256,0.000193256,0.000193256
8,210.347,0.98638,0.67956,0.96327,0,0,0,0,0,81.849,0,0.000146132,0.000146132,0.000146132
9,235.801,0.95015,0.62479,0.94796,0,0,0,0,0,80.011,0,9.9008e-05,9.9008e-05,9.9008e-05
10,260.232,0.91933,0.58796,0.93523,0,0,0,0,0,92.9132,0,5.1884e-05,5.1884e-05,5.1884e-05
