epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.4825,1.33391,2.95455,1.11819,0.53927,0.29017,0.29742,0.17669,1.24624,2.65464,1.13791,0.000151101,0.000151101,0.000151101
2,55.7897,1.19796,1.34888,1.05505,0.65683,0.27719,0.33958,0.22743,1.14342,2.31766,1.10341,0.00028778,0.00028778,0.00028778
3,83.1309,1.17179,1.11914,1.05279,0.47297,0.41081,0.36161,0.23968,1.20604,2.14544,1.19216,0.000409445,0.000409445,0.000409445
4,108.907,1.1402,0.99444,1.03894,0.73592,0.32697,0.41145,0.28812,1.0668,2.09068,1.09563,0.000387433,0.000387433,0.000387433
5,134.532,1.10607,0.88927,1.024,0.58479,0.40154,0.43259,0.28793,1.16632,2.20297,1.15768,0.00036491,0.00036491,0.00036491
6,160.205,1.08211,0.83586,1.00378,0.69177,0.35351,0.39892,0.28574,1.04829,2.12942,1.07763,0.000342387,0.000342387,0.000342387
7,185.697,1.04929,0.78397,0.99592,0.68266,0.41707,0.48655,0.34363,1.06184,1.85696,1.07579,0.000319865,0.000319865,0.000319865
8,211.167,1.02364,0.74278,0.98027,0.6102,0.43437,0.46642,0.34297,1.06486,1.81213,1.07211,0.000297342,0.000297342,0.000297342
9,236.557,1.01671,0.70708,0.97966,0.67256,0.39968,0.50127,0.36235,1.09137,1.73602,1.08684,0.00027482,0.00027482,0.00027482
10,262.104,0.99664,0.68762,0.97467,0.70584,0.46541,0.47961,0.34885,1.00421,1.75185,1.03057,0.000252298,0.000252298,0.000252298
11,298.335,0.98321,0.65061,0.9602,0.63075,0.43876,0.47351,0.33963,1.06001,1.71733,1.07044,0.000229775,0.000229775,0.000229775
12,323.628,0.95134,0.61474,0.95293,0.74011,0.40387,0.47667,0.33584,1.0528,1.80665,1.05578,0.000207252,0.000207252,0.000207252
13,348.691,0.93133,0.59188,0.94026,0.66328,0.47218,0.48422,0.34836,1.03517,1.76894,1.05072,0.00018473,0.00018473,0.00018473
14,373.915,0.90516,0.56374,0.93255,0.6726,0.46242,0.49052,0.35222,1.05352,1.67599,1.05056,0.000162207,0.000162207,0.000162207
15,399.104,0.90373,0.54586,0.92546,0.65466,0.46807,0.52005,0.38724,1.00902,1.67898,1.03614,0.000139685,0.000139685,0.000139685
16,424.424,0.88509,0.53057,0.91381,0.72312,0.43647,0.48144,0.35705,1.00918,1.70218,1.03079,0.000117163,0.000117163,0.000117163
17,449.74,0.861,0.49604,0.90373,0.77349,0.41598,0.52851,0.38218,1.00615,1.70397,1.03022,9.464e-05,9.464e-05,9.464e-05
18,474.943,0.85638,0.48307,0.9055,0.70744,0.45166,0.5099,0.38074,0.99245,1.66776,1.0192,7.21175e-05,7.21175e-05,7.21175e-05
19,500.108,0.83365,0.46863,0.89982,0.63129,0.51025,0.50313,0.37499,0.97568,1.71771,1.02557,4.9595e-05,4.9595e-05,4.9595e-05
20,525.376,0.81617,0.45278,0.89339,0.68561,0.50076,0.51416,0.38966,0.95903,1.71989,1.01515,2.70725e-05,2.70725e-05,2.70725e-05
